ser : eu fui, tu foste, ele foi, nós fomos, eles foram
estar : eu estive, tu estiveste, ele esteve, nós estivemos, eles estiveram
ter : eu tive, tu tiveste, ele teve, nós tivemos, eles tiveram
ir : eu fui, tu foste, ele foi, nós fomos, eles foram
vir : eu vim, tu vieste, ele veio, nós viemos, eles vieram
ver : eu vi, tu viste, ele viu, nós vimos, eles viram
pôr : eu pus, tu puseste, ele pôs, nós pusemos, eles puseram
dizer : eu disse, tu disseste, ele disse, nós dissemos, eles disseram
fazer : eu fiz, tu fizeste, ele fez, nós fizemos, eles fizeram
trazer : eu trouxe, tu trouxeste, ele trouxe, nós trouxemos, eles trouxeram
dar : eu dei, tu deste, ele deu, nós demos, eles deram
saber : eu soube, tu soubeste, ele soube, nós soubemos, eles souberam
querer : eu quis, tu quiseste, ele quis, nós quisemos, eles quiseram
poder : eu pude, tu pudeste, ele pôde, nós pudemos, eles puderam
perder : eu perdi, tu perdeste, ele perdeu, nós perdemos, eles perderam
pedir : eu pedi, tu pediste, ele pediu, nós pedimos, eles pediram
ouvir : eu ouvi, tu ouviste, ele ouviu, nós ouvimos, eles ouviram
dormir : eu dormi, tu dormiste, ele dormiu, nós dormimos, eles dormiram
cair : eu caí, tu caíste, ele caiu, nós caímos, eles caíram
rir : eu ri, tu riste, ele riu, nós rimos, eles riram
sorrir : eu sorri, tu sorriste, ele sorriu, nós sorrimos, eles sorriram
mentir : eu menti, tu mentiste, ele mentiu, nós mentimos, eles mentiram
sentir : eu senti, tu sentiste, ele sentiu, nós sentimos, eles sentiram
preferir : eu preferi, tu preferiste, ele preferiu, nós preferimos, eles preferiram
seguir : eu segui, tu seguiste, ele seguiu, nós seguimos, eles seguiram
fugir : eu fugi, tu fugiste, ele fugiu, nós fugimos, eles fugiram
cobrir : eu cobri, tu cobriste, ele cobriu, nós cobrimos, eles cobriram
ler : eu li, tu leste, ele leu, nós lemos, eles leram
