ser : eu sou, tu és, ele é, nós somos, eles são
estar : eu estou, tu estás, ele está, nós estamos, eles estão
ter : eu tenho, tu tens, ele tem, nós temos, eles têm
ir : eu vou, tu vais, ele vai, nós vamos, eles vão
vir : eu venho, tu vens, ele vem, nós vimos, eles vêm
ver : eu vejo, tu vês, ele vê, nós vemos, eles veem
pôr : eu ponho, tu pões, ele põe, nós pomos, eles põem
dizer : eu digo, tu dizes, ele diz, nós dizemos, eles dizem
fazer : eu faço, tu fazes, ele faz, nós fazemos, eles fazem
trazer : eu trago, tu trazes, ele traz, nós trazemos, eles trazem
dar : eu dou, tu dás, ele dá, nós damos, eles dão
saber : eu sei, tu sabes, ele sabe, nós sabemos, eles sabem
querer : eu quero, tu queres, ele quer, nós queremos, eles querem
poder : eu posso, tu podes, ele pode, nós podemos, eles podem
perder : eu perco, tu perdes, ele perde, nós perdemos, eles perdem
pedir : eu peço, tu pedes, ele pede, nós pedimos, eles pedem
ouvir : eu ouço, tu ouves, ele ouve, nós ouvimos, eles ouvem
dormir : eu durmo, tu dormes, ele dorme, nós dormimos, eles dormem
cair : eu caio, tu cais, ele cai, nós caímos, eles caem
rir : eu rio, tu ris, ele ri, nós rimos, eles riem
sorrir : eu sorrio, tu sorris, ele sorri, nós sorrimos, eles sorriem
mentir : eu minto, tu mentes, ele mente, nós mentimos, eles mentem
sentir : eu sinto, tu sentes, ele sente, nós sentimos, eles sentem
preferir : eu prefiro, tu preferes, ele prefere, nós preferimos, eles preferem
seguir : eu sigo, tu segues, ele segue, nós seguimos, eles seguem
fugir : eu fujo, tu foges, ele foge, nós fugimos, eles fogem
cobrir : eu cubro, tu cobres, ele cobre, nós cobrimos, eles cobrem
ler : eu leio, tu lês, ele lê, nós lemos, eles leem
